Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
VIVA AIR,2016,14859651,175046391.0,204303744,9187074,232353311,0.0,5251538.0,902559658,152669401.0,1007183258,705944,1057561055,4935440,-50377797,-3864951,-50742342,COMERCIAL
VIVA AIR,2016.0,13586595,124794018.0,25916643,6022977,144663557,0.0,7157840.0,30595596,13610722.0,453884354,0,469391000,8499443,-15506646,-4355133,-19650956,COMERCIAL
VIVA AIR,2017,51735151,66735177.0,158090569,37567868,168585377,0.0,8210720.0,59783841,70407652.0,477070517,0,515129921,3503764,-38059404,-4039749,-37523419,COMERCIAL
VIVA AIR,2017.0,14317695,194709850.0,204745776,9310382,243644991,0.0,5251538.0,903374512,160817948.0,923437590,1241447,912263193,4784211,11174397,-516914,8148547,COMERCIAL
VIVA AIR,2018.0,69929839,149266406.0,150914627,55017451,310029293,0.0,8210720.0,59783841,5064128.0,508299356,0,595503049,2203263,-87203693,-24063432,-65343524,COMERCIAL
SATENA,2008,137144600,45436600.0,38354900,159635100,45216900,6623400.0,24176200.0,14210200,0.0,229830200,2391300,222536200,12406600,7294000,0,-2721300,GOBIERNO
SATENA,2009.0,110825978,34579745.0,20722511,162985556,51433949,20441122.0,24176180.0,14210233,0.0,191054459,7924997,215985940,61186563,-24931481,0,-78193047,GOBIERNO
SATENA,2010.0,71098197,45563978.0,18901486,133966183,34915808,37864050.0,49177990.0,14269790,0.0,166043408,12986946,181217803,25323905,-15174395,0,-27511354,GOBIERNO
SATENA,2011.0,92064188,24495399.0,24498233,106619649,19804091,0.0,99000000.0,14317103,0.0,179909705,5453041,168888433,28705166,11021272,0,-12230853,GOBIERNO
SATENA,2012,84860012,17838301.0,26362681,100288698,16042872,0.0,396000.0,14359023,0.0,162209495,10520736,164421649,10255208,-2212154,0,-1946626,GOBIERNO
SATENA,2012.0,84860012,17838301.0,26362681,100288698,16042872,0.0,396000.0,14359023,0.0,162209495,10520736,164421649,10255208,-2212154,0,-1946626,GOBIERNO
SATENA,2013,72938201,23685241.0,29803813,102759873,21422656,0.0,396000.0,14412326,0.0,171571536,8240227,180130973,10218790,-8559437,0,-10538000,GOBIERNO
SATENA,2013.0,72938201,23685241.0,29803813,102759873,21422656,0.0,396000.0,14412326,0.0,171571536,8240227,180130973,10218790,-8559437,0,-10538000,GOBIERNO
SATENA,2014,83257164,23779583.0,36372711,98129231,38388364,0.0,396000.0,36423283,0.0,182714003,19095449,202351672,16821600,-19637669,0,-17363820,GOBIERNO
SATENA,2014.0,83257164,23779583.0,36372711,98129231,38388364,0.0,396000.0,36423283,0.0,182714003,19095449,202351672,16821600,-19637669,0,-17363820,GOBIERNO
SATENA,2015,134093245,37323047.0,38868460,165613551,141694222,0.0,396000.0,-11573164,0.0,200031198,26605925,239550328,44341708,-39519130,0,-57254913,GOBIERNO
SATENA,2015.0,77688294,27659109.0,33784152,96521866,81725889,0.0,396000.0,36465003,0.0,193681701,9845208,230282463,19294229,-36600762,0,-46049783,GOBIERNO
SATENA,2016,124729000,29008000.0,29475000,148792000,136015000,0.0,396000.0,-15837000,0.0,216383000,39427000,225074000,31044000,-8691000,0,-308000,GOBIERNO
SATENA,2016.0,124728605,29008081.0,29474274,148792429,136014710,0.0,396000.0,-15837502,0.0,216383469,39426767,225075548,31043507,-8692079,0,-308819,GOBIERNO
SATENA,2017,111546000,35196000.0,39073000,117468000,124988000,0.0,47302000.0,-20325000,0.0,218180000,27957000,231512000,13370000,-13332000,0,1255000,GOBIERNO
SATENA,2017.0,111546000,35332000.0,38937000,121333000,121123000,0.0,47302000.0,-20325000,0.0,218180000,36140000,231512000,21553000,-13332000,0,1255000,GOBIERNO
SATENA,2018.0,112402000,57641000.0,51242000,138751000,124522000,0.0,47302000.0,-21008000,0.0,230080000,55920000,247778000,25403000,-17698000,153000,12666000,GOBIERNO
SATENA,2019,162974000,44498000.0,0,147183000,107042000,0.0,1182000.0,0,0.0,239055000,0,54454000,0,-41475000,152000,498000,GOBIERNO
SATENA,2020,160222000,64328000.0,0,151884000,64180000,0.0,76182000.0,0,0.0,200294000,40326000,234208000,12270000,-33914000,0,18682000,GOBIERNO
SATENA,2020.0,151287000,31873000.0,0,160908000,80236000,0.0,41182000.0,0,0.0,91298000,0,55843000,0,-98156000,78000,-52912000,GOBIERNO
SATENA,2021.0,166669000,111912000.0,0,182342000,87786000,0.0,76182000.0,0,0.0,270645000,58797000,340228000,8631000,-69583000,0,-2155000,GOBIERNO
SATENA,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,0.0,-2147483648,-2147483648,-2147483648,0,-2147483648,0,-2147483648,GOBIERNO
SATENA,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,0.0,-2147483648,-2147483648,-2147483648,0,-2147483648,-190000000,1080000000,GOBIERNO
         FAST COLOMBIA  - VIVA,2021,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
         FAST COLOMBIA  - VIVA,2022.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
ADA,2017,27171074,6824972.0,24722929,16804960,9650100,0.0,6850000.0,32077712,0.0,44775093,3753702,46647517,3485899,-1872424,36873,-1641494,COMERCIAL
ADA,2018.0,23531690,10371630.0,27418217,16350497,16472417,0.0,6850000.0,32077711,0.0,40977190,2542641,43266620,3940990,-2289430,77511,-3765290,COMERCIAL
